dest01 to dest02  	 71.48	67.309	    4970	  1480	 1658.4		 71.48	67.309	   37928	9243.4	 9431.2	
dest01 to dest03  	127.32	119.274	   10677	3220.6	 3581.8		127.32	119.274	   64743	15671.2	16031.6	
dest01 to dest04  	162.72	153.681	   28941	8803.6	   9221		162.72	153.63	   69889	 17003	17412.4	
dest01 to dest05  	178.36	168.685	   35510	10911.4	11405.2		178.36	168.992	   70097	17070.2	17518.6	
dest01 to dest06  	192.88	182.492	   38583	 11747	12198.4		192.88	182.839	   70097	17012.4	17493.4	
dest01 to dest07  	   155	146.744	   17858	5402.2	 5796.6		   155	147.509	   70097	17526.4	17900.4	
dest01 to dest08  	179.52	170.331	   21899	  6574	 7002.4		179.52	170.974	   70097	17103.2	17528.8	
dest01 to dest09  	 32.12	30.0775	     999	 258.4	  383.4		 32.12	30.0775	    6421	1570.4	 1695.8	
dest02 to dest01  	 71.48	67.2309	    4399	  1201	   1493		 71.48	67.2309	    9387	2259.4	 2442.4	
dest02 to dest03  	 55.92	51.9711	    2602	 651.8	    791		 55.92	51.9711	   17111	4192.4	 4333.4	
dest02 to dest04  	 91.32	86.3733	   11752	3481.2	 3702.6		 91.32	86.3222	   48087	11663.4	11887.8	
dest02 to dest05  	 120.8	114.335	   18806	5745.4	 6129.8		 120.8	114.335	   60288	14678.2	  15049	
dest02 to dest06  	135.32	128.182	   12795	3792.8	   4200		135.32	128.182	   61592	14964.6	15365.6	
dest02 to dest07  	108.96	105.221	    6846	1786.8	 2239.4		108.96	105.278	   53313	12956.8	13421.2	
dest02 to dest08  	133.48	128.783	    6961	1904.8	   2387		133.48	128.894	   52783	12811.8	13312.4	
dest02 to dest09  	 66.16	62.5655	    4262	1166.2	 1381.8		 66.16	62.483	   17716	4474.8	   4657	
dest03 to dest01  	127.32	119.157	    7124	1894.8	   2203		127.32	119.157	   38168	9203.4	   9498	
dest03 to dest02  	 55.92	51.9711	    2577	   658	  818.2		 55.92	51.9711	   22616	5442.4	 5562.4	
dest03 to dest04  	 42.36	39.8361	    2880	 835.2	  937.8		 42.36	39.8361	   14806	3602.4	 3706.6	
dest03 to dest05  	 78.88	75.0712	    5582	1643.4	 1877.4		 78.72	74.9408	   36006	8713.8	 8934.6	
dest03 to dest06  	121.24	115.327	   12620	3780.8	 4110.6		121.08	115.362	   54956	13397.4	13706.8	
dest03 to dest07  	123.44	121.219	   10766	  3209	 3693.4		123.32	121.487	   59520	14434.2	14917.4	
dest03 to dest08  	148.44	144.621	   11543	3452.8	 3990.8		148.44	145.037	   59531	14539.6	15082.4	
dest03 to dest09  	   122	114.566	    8980	2443.2	 2783.6		   122	114.214	   47341	 11496	11786.6	
dest04 to dest01  	163.04	154.152	   16411	  4921	 5361.4		162.72	153.961	   57073	 13756	14170.6	
dest04 to dest02  	 91.48	 86.95	    7417	2200.8	 2424.4		 91.32	86.7589	   50800	 12703	  12941	
dest04 to dest03  	 42.36	40.1116	    2567	 730.2	    843		 42.36	40.1116	   13413	  3268	   3382	
dest04 to dest05  	 40.28	37.5079	    1855	 462.6	  557.8		 40.28	37.5036	   10797	  2762	 2850.6	
dest04 to dest06  	 82.64	77.8547	    6583	1932.8	   2185		 82.64	77.9245	   21884	5339.6	 5519.2	
dest04 to dest07  	 116.6	113.233	    9960	2954.8	 3443.4		116.48	113.424	   57277	13919.4	  14407	
dest04 to dest08  	 141.6	136.758	   10904	3434.6	 4060.4		 141.6	136.974	   57349	13919.2	14458.4	
dest04 to dest09  	137.12	128.662	   11782	3297.8	 3760.8		137.12	129.441	   58563	 14252	14679.8	
dest05 to dest01  	178.36	169.426	   29100	9230.4	   9730		178.36	170.361	   62264	15058.6	  15532	
dest05 to dest02  	 120.8	115.101	   20526	6434.4	 6818.4		 120.8	115.101	   62672	15264.6	15663.8	
dest05 to dest03  	 79.36	75.3053	    7456	2392.8	 2611.6		 78.72	75.2891	   33526	8083.8	   8277	
dest05 to dest04  	 40.28	37.5828	    1977	 476.4	  639.6		 40.28	38.0757	   12888	  3158	 3251.8	
dest05 to dest06  	 44.24	41.1459	    2248	   574	  764.2		 44.24	41.1455	   10608	  2573	 2710.8	
