map4 m_to_ml	    OFWF	         1707.6        1627.95        1233348      370091	    map4 m_to_ml	      Basic	         1707.6          1627.95         2925717     683177	
map5 bl_to_tr	    OFWF	         2595.4         2447.7        420508     125363	    map5 bl_to_tr	      Basic	         2595.4          2491.1            2522675    574353	
map5 tl_to_br	    OFWF	         2693.8        2595.12        318070      92855	    map5 tl_to_br	      Basic	         2693.8         2595.12            2519441    572665	
map5 bl_to_mr	    OFWF	         2061.2        1922.66        255217      69134	    map5 bl_to_mr	      Basic	         2061.2          1922.6            2329225    534161	
map5 bl_to_m	    OFWF	         1320.2        1256.38         146920       40986	    map5 bl_to_m	      Basic	         1320.2          1256.38         2424696     554116	
map6 bl_to_tr	    OFWF	           2682        2527.42       1058028     334229	    map6 bl_to_tr	      Basic	         2681.4         2527.64            2804903    651281	
map6 tl_to_br	    OFWF	         3376.6        3243.75       1820534     543715	    map6 tl_to_br	      Basic	         3376.6         3243.75            2934234    684026	
map6 bl_to_mr	    OFWF	         2045.2        1906.09        307784      82692	    map6 bl_to_mr	      Basic	         2045.2         1906.09            2501502    589005	
map6 bl_to_m	    OFWF	         1723.4        1610.65         579523      182390	    map6 bl_to_m	      Basic	         1723.4          1610.65         2323497     562143	
map6 tl_to_cl	    OFWF	         2951.2        2794.43       1423233     426039	    map6 tl_to_cl	      Basic	         2951.2         2794.43            2918809    672935	
map6 m_to_um	    OFWF	         2203.8        2140.13         731509      214548	    map6 m_to_um	      Basic	         2203.8          2140.13         1862701     430678	
big bl_to_tr	    OFWF	         5448.6        5225.68        1848594      559508	    big bl_to_tr	      Basic	         5446.6          5227.47         2172420     503542	
big tl_to_br	    OFWF	         1900.2    1.4822e-322         150399       42858	    big tl_to_br	      Basic	         1900.2       .4822e-322          150399      35685	
big bl_to_mr	    OFWF	         5368.6        5162.15        1855683      574552	    big bl_to_mr	      Basic	           5368          5163.69         2172420     510674	
big bl_to_cl	    OFWF	         2424.8        2344.87         604509      181023	    big bl_to_cl	      Basic	         2421.8          2344.55         1092022     249921	
big tl_to_cl	    OFWF	         1774.8        1686.59         434401      130173	    big tl_to_cl	      Basic	         1770.8          1685.89          815741     187075	
big m_to_um	        OFWF	         6500.2        6251.43         2837382       903203	    big m_to_um	          Basic	         6498.6           6254.95          2962563      694516	
tite bl_to_tr	    OFWF	         5672.4         5392.1        730594     240335	    tite bl_to_tr	      Basic	         5645.8         5394.16            1172633    291359	
tite tl_to_br	    OFWF	         1900.2    1.4822e-322        150399      49868	    tite tl_to_br	      Basic	         1900.2      .4822e-322             150399     36320	
tite bl_to_mr	    OFWF	           9160        8747.62        843797     267086	    tite bl_to_mr	      Basic	           9147         8758.95            1126229    278777	
tite bl_to_cl	    OFWF	         3444.6        3309.36        421784     129850	    tite bl_to_cl	      Basic	         3433.6         3307.37             626497    155622	
tite tl_to_cl	    OFWF	           9925        9478.74       1732514     552460	    tite tl_to_cl	      Basic	         9914.2           9484.58            1862729    458168	
    
