dest01_to_dest02		181.6	        169.293	        1034	  293.333	  35.3333		          181.6	        169.293	        7907	  1893.67	  37.3333	
dest01_to_dest03		322.4	        300.289	        2181	  624.333	       36		          322.4	        300.289	       12852	  3078.67	       39	
dest01_to_dest04		412.2	        386.347	        7060	     2043	  38.3333		          412.2	        386.347	       13579	  3284.33	  40.3333	
dest01_to_dest05		452.6	        423.852	        8038	  2354.67	  38.6667		          450.8	         424.57	       13611	  3271.67	       40	
dest01_to_dest06		486.8	        456.701	        8103	  2372.67	       39		          486.8	        457.615	       13611	     3284	       40	
dest01_to_dest07		393.4	        370.484	        3877	  1117.67	  37.6667		          392.6	        371.669	       13611	  3275.33	       40	
dest01_to_dest08		455.2	        429.899	        4480	     1309	       38		          455.2	        431.126	       13611	  3260.33	  40.3333	
dest01_to_dest09		 81.2	        75.4506	         493	  116.667	  35.6667		           81.2	        75.4506	        1211	  292.333	  36.3333	
dest02_to_dest01		181.6	        169.655	         938	      251	       35		          181.6	        169.655	        1749	  416.333	       36	
dest02_to_dest03		141.2	        131.046	         501	      137	  35.6667		          141.2	        131.046	        3337	      803	  37.3333	
dest02_to_dest04		  231	        217.415	        2496	      756	  37.3333		            231	        217.421	        9634	  2316.33	  38.6667	
dest02_to_dest05		  305	        287.175	        4304	     1233	  37.3333		            305	        287.175	       11821	     2833	  39.3333	
dest02_to_dest06		  341	        320.223	        2914	  815.667	       37		            341	        320.223	       12028	  2891.33	  40.3333	
dest02_to_dest07		274.2	        264.214	        1697	  443.667	       36		          273.6	        264.199	       10447	  2580.67	  39.6667	
dest02_to_dest08		336.8	        323.522	        1869	      494	       36		          336.2	        323.469	       10430	  2488.67	       39	
dest02_to_dest09		  167	        155.561	         803	      222	       36		            167	        155.561	        3477	  831.667	  36.3333	
dest03_to_dest01		322.4	         300.32	        1488	  404.333	  36.3333		          322.4	         300.32	        7799	  1867.67	       38	
dest03_to_dest02		141.2	        131.046	         496	  129.667	  35.3333		          141.2	        131.046	        4616	  1107.67	  36.6667	
dest03_to_dest04		106.4	        99.8887	         777	  237.667	       36		          106.4	        99.8887	        2899	      709	  36.3333	
dest03_to_dest05		199.2	        187.842	        1340	      379	       36		          198.4	        187.842	        6921	  1801.33	  38.3333	
dest03_to_dest06		  306	        288.313	        2779	  826.667	  37.3333		          305.2	        288.313	       10744	  2577.33	  39.6667	
dest03_to_dest07		311.2	        304.177	        2502	      719	       37		          311.2	        304.179	       11763	  2851.33	  39.3333	
dest03_to_dest08		374.6	        363.473	        2627	  747.667	       37		          373.8	        363.473	       11732	  2805.67	  39.3333	
dest03_to_dest09		307.8	        286.669	        1705	  508.333	       37		          307.8	        286.669	        9463	  2281.67	  38.3333	
dest04_to_dest01		  413	        386.731	        3409	  968.667	  36.6667		          412.2	        386.731	       11357	  2723.67	       39	
dest04_to_dest02		231.8	        217.098	        1714	  485.667	       36		            231	        217.098	       10196	  2470.33	  38.6667	
dest04_to_dest03		106.4	        100.269	         680	  187.333	       36		          106.4	        100.269	        2537	      610	       36	
dest04_to_dest05		101.2	        94.0687	         469	  116.333	  36.3333		          101.2	        94.0687	        2001	  480.333	  36.3333	
dest04_to_dest06		  208	        194.602	        1478	  421.333	       38		            208	        194.602	        4020	  964.667	       37	
dest04_to_dest07		293.4	         284.12	        2322	      645	  36.3333		          293.4	         284.12	       11235	     2696	  39.6667	
dest04_to_dest08		  356	        342.792	        2351	      649	  36.3333		            356	        343.159	       11218	     2676	  39.3333	
dest04_to_dest09		344.6	        322.937	        3053	  829.667	  36.3333		          344.6	        322.937	       11595	  2779.67	       39	
dest05_to_dest01		450.8	         425.02	        6180	  1841.67	       38		          450.8	        427.613	       12251	     2929	  39.3333	
dest05_to_dest02		  305	        288.702	        4515	  1337.33	       37		            305	         289.79	       12320	  3057.67	  39.6667	
dest05_to_dest03		198.4	        188.291	        1585	  459.333	       36		          198.4	        188.291	        6649	     1602	  37.6667	
dest05_to_dest04		101.2	        94.5889	         459	  117.333	       36		          101.2	        94.5889	        2516	  605.667	       36	
dest05_to_dest06		110.8	        102.889	         638	  165.333	       36		          110.8	        102.889	        1941	  463.667	       36	
dest05_to_dest07		226.4	        211.276	        1143	  311.667	  36.3333		          226.4	        211.276	        8650	  2081.33	       38	
dest05_to_dest08		298.2	        278.379	        1268	  346.333	       36		          298.2	        278.379	        8841	     2124	       39	
dest05_to_dest09		  370	         349.72	        4039	  1223.67	  37.3333		            370	        352.244	       12080	  2900.67	  39.6667	
dest06_to_dest01		486.8	        457.901	        8030	  2612.33	  39.6667		          486.8	        460.494	       13079	     3129	       40	
dest06_to_dest02		  341	        322.686	        5735	  1689.67	  38.3333		            341	        322.686	       13036	  3148.67	       41	
dest06_to_dest03		305.2	        288.941	        3400	  964.667	       37		          305.2	        288.941	       12410	     2990	  39.6667	
dest06_to_dest04		  208	        194.758	        1398	  383.667	  36.6667		            208	        194.814	        6999	     1692	  38.3333	
dest06_to_dest05		110.8	         103.89	         651	      163	  36.3333		          110.8	         103.89	        2582	  616.667	  37.6667	
dest06_to_dest07		120.8	        112.254	         303	  81.6667	  36.6667		          120.8	        112.254	        1453	  344.667	  36.3333	
dest06_to_dest08		192.6	         179.36	         506	      132	       36		          192.6	         179.36	        2079	      495	  36.6667	
dest06_to_dest09		  406	        382.601	        5966	  1744.33	       38		            406	        385.125	       13076	     3135	  39.6667	
dest07_to_dest01		392.6	        370.168	        3602	  1033.67	       37		          392.6	        371.257	       10381	  2476.67	       38	
dest07_to_dest02		273.6	        264.837	        2521	  623.667	  36.3333		          273.6	        266.563	       11120	  2686.67	       39	
dest07_to_dest03		  312	        304.671	        2350	  667.667	  36.3333		          311.2	        305.443	       11565	     2766	  39.3333	
dest07_to_dest04		293.4	        284.806	        2645	      746	       37		          293.4	        284.806	       11568	  2791.67	       39	
dest07_to_dest05		226.4	         210.48	        1352	  391.667	  36.6667		          226.4	         210.48	        8149	  1964.67	       38	
dest07_to_dest06		120.8	        112.254	         317	  103.333	  36.3333		          120.8	        112.254	        2255	  540.333	  36.3333	
dest07_to_dest08		 72.2	        67.1193	         138	       35	       35		           72.2	        67.1193	         306	  74.6667	       36	
dest07_to_dest09		311.8	        294.798	        2654	  757.667	       37		          311.8	        295.888	        9526	  2271.67	       38	
dest08_to_dest01		  456	        431.474	        6596	     2061	       43		          455.2	        430.589	       12525	     2983	       40	
dest08_to_dest02		  338	        326.449	        6103	  1945.67	  38.3333		          336.2	         325.84	       12595	  3036.33	       39	
dest08_to_dest03		374.6	        363.477	        5197	  1542.33	  37.6667		          373.8	        364.248	       13363	  3213.67	       40	
dest08_to_dest04		  356	        343.613	        5083	  1494.67	  37.3333		            356	        343.613	       12395	     2997	       40	
dest08_to_dest05		298.2	        277.583	        1726	  495.333	       36		          298.2	        277.583	       11228	  2702.67	       39	
dest08_to_dest06		192.6	         179.36	         528	  144.667	  36.3333		          192.6	         179.36	        3390	      815	       37	
dest08_to_dest07		 72.2	        67.1193	         131	  34.6667	  35.3333		           72.2	        67.1193	         586	      145	  36.3333	
