dest01 to dest02  	 72.48	67.9424	    1059	 308.4	  382.2		 72.48	67.9424	    7908	1973.2	 2048.2	
dest01 to dest03  	128.24	119.884	    2139	   642	  793.6		128.24	119.884	   12798	3182.4	 3350.6	
dest01 to dest04  	164.72	155.116	    7012	2128.6	 2317.2		164.72	155.116	   13580	  3389	 3578.6	
dest01 to dest05  	180.64	170.234	    7815	2543.2	 2724.6		179.92	170.189	   13612	3428.8	   3602	
dest01 to dest06  	 194.8	184.036	    8078	2470.4	   2662		 194.8	184.184	   13612	  3398	 3582.2	
dest01 to dest07  	 156.8	149.146	    3820	1149.4	 1309.6		156.48	148.947	   13612	3452.8	   3615	
dest01 to dest08  	181.92	172.769	    4346	1313.6	 1498.2		181.92	173.039	   13612	3379.8	 3576.6	
dest01 to dest09  	 32.32	30.2646	     491	 120.8	  167.4		 32.32	30.2646	    1212	 298.2	  346.8	
dest02 to dest01  	 72.48	67.9637	     938	 262.2	    344		 72.48	67.9637	    1749	   434	  521.2	
dest02 to dest03  	 55.92	51.9467	     485	 130.2	  197.8		 55.92	51.9467	    3312	 813.2	  881.6	
dest02 to dest04  	  92.4	87.1787	    2496	 734.8	  836.6		  92.4	87.1787	    9634	2404.6	 2510.2	
dest02 to dest05  	121.76	115.24	    4309	1283.4	   1424		121.76	115.24	   11821	2938.6	 3085.6	
dest02 to dest06  	136.64	129.09	    2895	 836.4	  994.8		136.64	129.235	   12028	3049.4	 3212.2	
dest02 to dest07  	109.28	105.94	    1886	 520.4	    671		109.04	107.166	   10447	2898.6	 3080.6	
dest02 to dest08  	134.72	130.138	    1869	 511.4	  688.2		134.48	131.379	   10430	  2543	 2716.4	
dest02 to dest09  	  66.8	63.0195	     803	 223.8	  299.2		  66.8	63.0195	    3477	 820.2	  896.4	
dest03 to dest01  	128.24	119.842	    1476	 403.4	  540.4		128.24	119.842	    7748	1870.6	 2006.4	
dest03 to dest02  	 55.92	51.928	     490	   131	  183.4		 55.92	51.928	    4503	1067.6	 1120.6	
dest03 to dest04  	  42.8	40.3615	     783	 217.4	    260		  42.8	40.3615	    2942	 703.8	    746	
