dest06 to dest09  OFWF	       802.6        759.493       27852      8322.25
dest06 to dest09  Basic	       802.6        759.908       67373        16029
dest07 to dest01  OFWF	         790        740.537       17449       5110.5
dest07 to dest01  Basic	       788.4        740.487       53951      12915.2
dest07 to dest02  OFWF	       554.8        533.842       10856         2819
dest07 to dest02  Basic	       554.8        536.734       56875      13573.8
dest07 to dest03  OFWF	       631.6        614.768       10818      3137.25
dest07 to dest03  Basic	       629.8        618.741       59028        14113
dest07 to dest04  OFWF	         607        582.842       15836       4593.5
dest07 to dest04  Basic	       606.4        586.479       59428      14310.8
dest07 to dest05  OFWF	       440.4        413.341        6777      1940.75
dest07 to dest05  Basic	       439.6        413.341       40636       9756.5
dest07 to dest06  OFWF	       247.2        231.632        1593          415
dest07 to dest06  Basic	       247.2        231.632       12094      2936.75
dest07 to dest08  OFWF	       148.4        139.754         925        230.5
dest07 to dest08  Basic	       148.4        139.925        2594        627.5
dest07 to dest09  OFWF	       621.4        585.033       12110         3513
dest07 to dest09  Basic	       621.4        584.984       49877        11924
dest08 to dest01  OFWF	       897.2        845.495       31562      9398.25
dest08 to dest01  Basic	       896.4        845.087       64013      15371.8
dest08 to dest02  OFWF	       665.2        642.115       29066       8443.5
dest08 to dest02  Basic	       662.8        641.881       64249      15298.8
dest08 to dest03  OFWF	         742        719.184       23653      7101.75
dest08 to dest03  Basic	       740.8        722.154       68155      16293.2
dest08 to dest04  OFWF	       717.4         690.15       24326      7251.75
dest08 to dest04  Basic	       717.4         690.15       63502      15399.5
dest08 to dest05  OFWF	       588.4        549.617        8946         2572
dest08 to dest05  Basic	       587.6        549.617       56975      14063.8
dest08 to dest06  OFWF	       395.2        369.394        3044       769.25
dest08 to dest06  Basic	       395.2         369.34       19684      4700.25
dest08 to dest07  OFWF	       148.4        138.987        1007       259.25
dest08 to dest07  Basic	       148.4        138.975        3939          970
dest08 to dest09  OFWF	       729.4        689.584       24315      7093.75
dest08 to dest09  Basic	       729.4        689.584       63243      15180.2
dest09 to dest01  OFWF	       167.4        155.594        2682        762.5
dest09 to dest01  Basic	       167.4        155.594        5132      1211.75
dest09 to dest02  OFWF	       345.8        322.378        6276      1816.75
dest09 to dest02  Basic	       345.8        322.378       37274         8863
dest09 to dest03  OFWF	       631.2        588.022       12885       3756.5
dest09 to dest03  Basic	       631.2        588.022       63765      15486.8
dest09 to dest04  OFWF	       696.2        653.604       20691      5994.25
dest09 to dest04  Basic	       696.2         652.94       63222        15086
