dest01_to_dest02	      718.6	  672.432	   21409	     6368	      940		          718.6	        672.432	      168667	    40833	    971.5	
dest01_to_dest03	     1280.4	  1194.75	   47423	  14535.5	    947.5		         1280.4	        1194.75	      287675	    67722	     1002	
dest01_to_dest04	     1628.8	  1532.25	  124781	    38103	      988		           1628	        1532.74	      310479	    74592	   1049.5	
dest01_to_dest05	     1785.2	  1685.42	  152939	    47395	      982		         1785.2	        1684.13	      311782	  73369.5	     1006	
dest01_to_dest06	       1926	  1811.38	  164760	    50525	    983.5		           1926	        1812.57	      311782	  73594.5	   1007.5	
dest01_to_dest07	     1553.6	  1465.31	   78068	    23803	      958		         1553.6	        1465.31	      311782	    74801	     1010	
dest01_to_dest08	     1788.4	  1689.25	   95446	    28866	    961.5		         1786.8	        1689.25	      311782	  73873.5	   1008.5	
dest01_to_dest09	      323.2	  301.054	    3360	      851	    935.5		          323.2	        301.054	       29228	     6981	    951.5	
dest02_to_dest01	      718.6	  673.052	   16787	   4682.5	    960.5		          718.6	        673.052	       42904	    10239	    946.5	
dest02_to_dest03	      562.2	  522.848	    7290	     1810	      961		          562.2	        522.848	       76211	  19161.5	    968.5	
dest02_to_dest04	      910.6	  861.248	   47667	  14223.5	    947.5		          909.8	        859.814	      209227	    50165	    997.5	
dest02_to_dest05	       1207	  1139.81	   79099	    24924	    971.5		           1207	        1139.81	      266763	    62998	      998	
dest02_to_dest06	     1347.8	  1268.54	   52438	  15666.5	      948		         1347.8	        1268.54	      273049	    64302	      997	
dest02_to_dest07	     1095.4	  1051.52	   28300	     7648	    939.5		         1095.4	        1052.17	      237095	    56282	      988	
dest02_to_dest08	     1328.6	  1280.21	   30300	   8448.5	      957		         1328.6	        1277.03	      232487	  57573.5	   1000.5	
dest02_to_dest09	      660.2	  614.886	   15884	   4406.5	      948		          660.2	        614.886	       79090	  19168.5	    983.5	
dest03_to_dest01	     1280.4	  1195.19	   25466	     6895	      950		         1280.4	        1195.19	      169149	  40423.5	      992	
dest03_to_dest02	      562.2	  522.848	    9470	   2400.5	    948.5		          562.2	        522.848	      100643	    24018	    963.5	
dest03_to_dest04	      428.8	  401.857	   11409	   3396.5	    945.5		          428.8	        401.857	       65952	    16703	    974.5	
dest03_to_dest05	      790.6	  748.364	   22972	     6884	    950.5		          787.4	        747.848	      160034	  38139.5	    975.5	
dest03_to_dest06	     1205.8	  1145.61	   51986	    15816	    964.5		           1205	        1145.61	      242705	    57562	      992	
dest03_to_dest07	       1235	  1210.72	   40578	    12329	    945.5		         1234.4	         1210.2	      262038	    62104	    999.5	
dest03_to_dest08	     1478.4	  1436.66	   45465	    13944	    955.5		         1478.4	        1435.52	      262840	  62533.5	   1001.5	
dest03_to_dest09	       1222	  1137.73	   31646	     8670	    954.5		           1222	        1137.73	      211458	    52089	   1021.5	
dest04_to_dest01	     1630.4	  1533.87	   69190	    21260	      986		           1628	        1533.87	      252678	    61595	   1039.5	
dest04_to_dest02	      912.2	   860.42	   29696	   9088.5	      979		          909.8	        860.892	      223852	  54154.5	    996.5	
dest04_to_dest03	      428.8	   403.54	    8872	     2595	      950		          428.8	        403.805	       61111	    15047	    955.5	
dest04_to_dest05	      403.8	   376.12	    5333	     1340	    937.5		          403.8	         376.12	       48472	  11688.5	      960	
dest04_to_dest06	      821.4	  773.978	   26087	     7713	    945.5		          821.4	        773.978	       96843	  23122.5	      972	
dest04_to_dest07	     1173.6	  1133.36	   41681	  12521.5	      955		           1173	        1143.53	      255232	    60431	    992.5	
dest04_to_dest08	       1417	  1361.41	   48623	    14472	    946.5		           1417	        1368.84	      256337	  60446.5	    991.5	
dest04_to_dest09	     1370.8	  1294.01	   31845	   9269.5	    966.5		           1370	        1298.84	      258729	  61512.5	    999.5	
dest05_to_dest01	     1785.2	   1686.2	  123959	    37989	    971.5		         1785.2	        1687.03	      277191	  66198.5	    997.5	
dest05_to_dest02	       1207	  1143.03	   85017	    26146	    965.5		           1207	        1155.44	      278834	  66968.5	     1013	
dest05_to_dest03	      789.8	  749.624	   27167	   8085.5	      949		          787.4	        747.955	      149859	    35621	      970	
dest05_to_dest04	      403.8	   376.12	    5229	   1308.5	    941.5		          403.8	         376.12	       57248	  13714.5	      948	
dest05_to_dest06	      443.8	  413.279	    5557	   1405.5	      934		          443.8	        413.279	       48842	    11718	      946	
dest05_to_dest07	      900.4	  836.839	   21149	   6185.5	      939		          900.4	        836.839	      195303	  46540.5	    979.5	
dest05_to_dest08	     1186.4	  1103.76	   27106	     7972	    943.5		         1186.4	        1103.76	      201471	    48256	      981	
dest05_to_dest09	     1462.4	  1382.97	   79225	    24793	      958		         1462.4	        1385.94	      271638	    64465	    996.5	
dest06_to_dest01	       1926	  1814.17	  168479	    51834	      986		           1926	        1815.03	      299790	  71402.5	   1007.5	
dest06_to_dest02	     1347.8	  1271.74	  111051	    34327	      967		         1347.8	        1280.58	      298689	    71518	     1036	
dest06_to_dest03	       1209	  1148.81	   63594	    19203	      955		           1205	        1152.12	      275262	    80998	     1015	
dest06_to_dest04	      821.4	  774.393	   21053	     5999	      941		          821.4	        778.007	      152273	    36333	      975	
dest06_to_dest05	      443.8	  413.817	    5098	   1277.5	      942		          443.8	        421.319	       59856	  14347.5	    954.5	
dest06_to_dest07	      484.2	  451.276	    7402	   1913.5	    957.5		          484.2	        451.276	       41523	  10016.5	      944	
dest06_to_dest08	      770.2	  718.327	   10403	     2587	      940		          770.2	        718.327	       60706	  14572.5	    953.5	
dest06_to_dest09	     1603.2	  1511.27	  123101	    37809	    983.5		         1603.2	        1513.94	      299750	    74384	   1020.5	
dest07_to_dest01	     1553.6	  1464.54	   73157	  22372.5	    962.5		         1553.6	        1464.54	      233256	  56104.5	    990.5	
dest07_to_dest02	     1095.4	  1054.81	   48712	    13309	      948		         1095.4	        1061.36	      246551	  58693.5	    992.5	
dest07_to_dest03	       1235	  1212.18	   34504	    10415	      945		         1234.4	        1216.43	      252468	  60298.5	      992	
dest07_to_dest04	       1173	  1138.15	   50202	  15363.5	    949.5		           1173	        1139.64	      257055	    60925	      999	
dest07_to_dest05	      900.4	  836.953	   29943	   8962.5	    946.5		          900.4	        839.729	      188829	  45130.5	    980.5	
dest07_to_dest06	      484.2	  451.276	    7557	     1870	      935		          484.2	        451.276	       55243	  13231.5	      947	
dest07_to_dest08	      286.4	   267.06	    3449	    828.5	      934		          286.4	         267.06	       12052	   2960.5	      936	
dest07_to_dest09	     1230.8	  1163.28	   50259	    15156	    948.5		         1230.8	        1163.28	      215160	    50771	    983.5	
dest08_to_dest01	     1786.8	  1688.38	  138654	  42359.5	    977.5		         1786.8	        1687.99	      285261	  68656.5	   1001.5	
dest08_to_dest02	     1328.6	  1288.59	  125248	    38048	    973.5		         1328.6	        1290.06	      285717	    68154	     1004	
dest08_to_dest03	       1479	  1434.04	  103470	    32302	    969.5		         1478.4	        1438.52	      302314	    72870	     1026	
dest08_to_dest04	       1417	  1357.78	   99955	  30872.5	      976		           1417	        1362.04	      282954	    67179	     1005	
dest08_to_dest05	     1186.4	  1103.87	   37795	  11130.5	    947.5		         1186.4	        1105.43	      254048	    60663	    992.5	
dest08_to_dest06	      770.2	  718.327	   11446	   2881.5	      937		          770.2	        718.327	       89499	  21356.5	    954.5	
dest08_to_dest07	      286.4	   267.06	    2980	      798	    931.5		          286.4	         267.06	       19306	   4668.5	      936	
dest08_to_dest09	       1464	  1386.73	  107179	    32802	      966		           1464	        1386.73	      282602	  66984.5	      999	
dest09_to_dest01	      323.2	  301.261	   10665	     3730	      936		          323.2	        301.261	       22191	   5272.5	    937.5	
dest09_to_dest02	      660.2	   616.09	   24262	     7311	      941		          660.2	         616.09	      149175	    35378	      967	
dest09_to_dest03	       1222	  1138.91	   52912	    16125	    951.5		           1222	        1138.91	      274219	  65436.5	    998.5	
dest09_to_dest04	       1370	  1297.36	   79159	  24260.5	    960.5		           1370	        1297.36	      280399	    66948	   1031.5	
dest09_to_dest05	     1462.4	  1383.86	   31127	   8351.5	   1006.5		         1462.4	        1383.36	      281829	  66693.5	   1000.5	
dest09_to_dest06	     1603.2	  1511.86	   51603	    14732	      962		         1603.2	         1511.8	      288234	  68315.5	   1000.5	
dest09_to_dest07	     1231.6	  1160.67	   47893	    14152	    946.5		         1230.8	        1164.51	      275829	    65206	      997	
dest09_to_dest08	       1464	  1384.85	   67276	    19794	      953		           1464	        1388.45	      273318	  64523.5	      997	
