dest07 to dest02  	109.02	105.313	   29107	8145.2	 9043.4		109.02	105.655	  245425	61095.8	61944.8	
dest07 to dest03  	 122.9	120.276	   33576	10374.6	  11301		 122.9	121.454	  252354	62482.2	63706.8	
dest07 to dest04  	116.28	112.717	   43789	 15569	16392.6		116.28	 113.1	  256010	63599.4	64420.2	
dest07 to dest05  	 89.96	83.8683	   30160	9167.6	10154.8		 89.96	83.9166	  188825	 45466	46161.6	
dest07 to dest06  	 48.04	44.7693	    7308	  1762	 2248.8		 48.04	44.7693	   54588	13031.8	  13336	
dest07 to dest08  	 28.54	26.6177	    3044	 750.2	 1143.6		 28.54	26.6177	   11985	2880.2	 3024.8	
dest07 to dest09  	122.48	116.423	   50041	15038.4	15759.2		122.48	116.423	  212532	50794.6	51517.2	
dest08 to dest01  	 178.4	170.239	  139051	42633.6	  44207		 178.4	170.272	  284907	67906.8	69132.2	
dest08 to dest02  	132.92	130.032	  126328	38144.2	  40098		 132.8	129.682	  285368	 69133	70763.8	
dest08 to dest03  	147.76	143.429	  105754	 33807	35772.8		147.76	144.901	  302107	77578.4	79696.2	
dest08 to dest04  	141.14	136.019	  100976	31116.4	32510.4		141.14	136.521	  282804	 67811	69460.4	
dest08 to dest05  	118.46	110.485	   39216	11715.8	12771.8		118.46	110.534	  253877	60375.6	61286.2	
dest08 to dest06  	 76.54	71.3855	   11149	2718.6	 3569.4		 76.54	71.3855	   88014	21050.6	21522.8	
dest08 to dest07  	 28.54	26.6177	    3233	 812.8	  958.6		 28.54	26.6177	   19384	4849.6	   5020	
dest08 to dest09  	146.26	139.305	  107968	32876.2	34010.8		146.26	139.564	  282105	70517.8	71555.2	
dest09 to dest01  	 32.18	30.0983	   10406	3167.4	   3437		 32.18	30.0983	   22139	  5254	 5452.8	
dest09 to dest02  	 65.92	61.9346	   24300	7391.6	 7818.2		 65.92	61.9346	  148342	35278.6	35656.8	
dest09 to dest03  	121.76	113.901	   52897	16278.2	17531.2		121.76	113.901	  272748	65556.6	66420.2	
dest09 to dest04  	136.24	129.958	   79073	24491.4	25812.2		136.18	129.976	  280139	70688.8	  71568	
dest09 to dest05  	 145.8	138.054	   52461	14680.8	16378.6		 145.8	138.21	  281602	 67013	67906.6	
dest09 to dest06  	160.18	151.275	   54029	15812.6	18032.8		160.18	152.19	  288113	 68715	  69744	
dest09 to dest07  	122.56	115.915	   46253	 13666	14911.4		122.48	117.127	  275370	65409.6	66048.8	
dest09 to dest08  	146.26	139.318	   66079	19509.8	20473.2		146.26	140.153	  272832	65066.2	65832.6	
